stock_id,name,industry,market,asset_type
2312,金寶,其他電子業,上市,stock
2313,華通,電子零組件業,上市,stock
2314,台揚,通信網路業,上市,stock
2316,楠梓電,電子零組件業,上市,stock
2317,鴻海,其他電子業,上市,stock
2321,東訊,通信網路業,上市,stock
2323,中環,光電業,上市,stock
2324,仁寶,電腦及週邊設備業,上市,stock
2327,國巨*,電子零組件業,上市,stock
2328,廣宇,電子零組件業,上市,stock
2329,華泰,半導體業,上市,stock
2330,台積電,半導體業,上市,stock
2331,精英,電腦及週邊設備業,上市,stock
2332,友訊,通信網路業,上市,stock
2337,旺宏,半導體業,上市,stock
2338,光罩,半導體業,上市,stock
2340,台亞,半導體業,上市,stock
2342,茂矽,半導體業,上市,stock
2344,華邦電,半導體業,上市,stock
2345,智邦,通信網路業,上市,stock
2347,聯強,電子通路業,上市,stock
2348,海悅,其他業,上市,stock
2348A,海悅甲特,其他業,上市,stock
2349,錸德,光電業,上市,stock
2351,順德,半導體業,上市,stock
2352,佳世達,電腦及週邊設備業,上市,stock
2353,宏碁,電腦及週邊設備業,上市,stock
2354,鴻準,其他電子業,上市,stock
2355,敬鵬,電子零組件業,上市,stock
2356,英業達,電腦及週邊設備業,上市,stock
2357,華碩,電腦及週邊設備業,上市,stock
2359,所羅門,其他電子業,上市,stock
2360,致茂,其他電子業,上市,stock
2362,藍天,電腦及週邊設備業,上市,stock
2363,矽統,半導體業,上市,stock
2364,倫飛,電腦及週邊設備業,上市,stock
2365,昆盈,電腦及週邊設備業,上市,stock
2367,燿華,電子零組件業,上市,stock
2368,金像電,電子零組件業,上市,stock
2369,菱生,半導體業,上市,stock
2371,大同,電機機械,上市,stock
2373,震旦行,其他電子業,上市,stock
2374,佳能,光電業,上市,stock
2375,凱美,電子零組件業,上市,stock
2376,技嘉,電腦及週邊設備業,上市,stock
2377,微星,電腦及週邊設備業,上市,stock
2379,瑞昱,半導體業,上市,stock
2380,虹光,電腦及週邊設備業,上市,stock
2382,廣達,電腦及週邊設備業,上市,stock
2383,台光電,電子零組件業,上市,stock
2385,群光,電子零組件業,上市,stock
2387,精元,電腦及週邊設備業,上市,stock
2388,威盛,半導體業,上市,stock
2390,云辰,其他電子業,上市,stock
2392,正崴,電子零組件業,上市,stock
2393,億光,光電業,上市,stock
2395,研華,電腦及週邊設備業,上市,stock
2397,友通,電腦及週邊設備業,上市,stock
2399,映泰,電腦及週邊設備業,上市,stock
2401,凌陽,半導體業,上市,stock
2402,毅嘉,電子零組件業,上市,stock
2404,漢唐,其他電子業,上市,stock
2405,輔信,電腦及週邊設備業,上市,stock
2406,國碩,光電業,上市,stock
2408,南亞科,半導體業,上市,stock
2409,友達,光電業,上市,stock
2412,中華電,通信網路業,上市,stock
2413,環科,電子零組件業,上市,stock
2414,精技,電子通路業,上市,stock
2415,錩新,電子零組件業,上市,stock
2417,圓剛,電腦及週邊設備業,上市,stock
2419,仲琦,通信網路業,上市,stock
2420,新巨,電子零組件業,上市,stock
2421,建準,電子零組件業,上市,stock
2423,固緯,其他電子業,上市,stock
2424,隴華,通信網路業,上市,stock
2425,承啟,電腦及週邊設備業,上市,stock
2426,鼎元,光電業,上市,stock
2427,三商電,資訊服務業,上市,stock
2428,興勤,電子零組件業,上市,stock
2429,銘旺科,光電業,上市,stock
2430,燦坤,電子通路業,上市,stock
2431,聯昌,電子零組件業,上市,stock
2432,倚天酷碁-創,電腦及週邊設備業,上市,stock
2433,互盛電,其他電子業,上市,stock
2434,統懋,半導體業,上市,stock
2436,偉詮電,半導體業,上市,stock
2438,翔耀,光電業,上市,stock
2439,美律,通信網路業,上市,stock
2440,太空梭,電子零組件業,上市,stock
2441,超豐,半導體業,上市,stock
2442,新美齊,建材營造業,上市,stock
2444,兆勁,通信網路業,上市,stock
2449,京元電子,半導體業,上市,stock
2450,神腦,通信網路業,上市,stock
2451,創見,半導體業,上市,stock
2453,凌群,資訊服務業,上市,stock
2454,聯發科,半導體業,上市,stock
2455,全新,通信網路業,上市,stock
2457,飛宏,電子零組件業,上市,stock
2458,義隆,半導體業,上市,stock
2459,敦吉,其他電子業,上市,stock
2460,建通,電子零組件業,上市,stock
2461,光群雷,其他電子業,上市,stock
2462,良得電,電子零組件業,上市,stock
2464,盟立,其他電子業,上市,stock
2465,麗臺,電腦及週邊設備業,上市,stock
2466,冠西電,光電業,上市,stock
2467,志聖,電子零組件業,上市,stock
2468,華經,資訊服務業,上市,stock
2471,資通,資訊服務業,上市,stock
2472,立隆電,電子零組件業,上市,stock
2474,可成,其他電子業,上市,stock
2476,鉅祥,電子零組件業,上市,stock
2477,美隆電,其他電子業,上市,stock
2478,大毅,電子零組件業,上市,stock
2480,敦陽科,資訊服務業,上市,stock
2481,強茂,半導體業,上市,stock
2482,連宇,其他電子業,上市,stock
2483,百容,電子零組件業,上市,stock
2484,希華,電子零組件業,上市,stock
2485,兆赫,通信網路業,上市,stock
2486,一詮,光電業,上市,stock
2488,漢平,其他電子業,上市,stock
2489,瑞軒,光電業,上市,stock
2491,吉祥全,光電業,上市,stock
